xc,提交人,id,task instruction,potential solution path,verification method,data synth req,involved other task domain ,involved mock service,complexity factors,
Deep Research & Reporting,Lu Qiyanhui,analyst-call-qna-pack,"I have an analyst call this Thursday. Please check my calendar (http://localhost:3000/) for the meeting details and use that information to find the correct materials in corpus/ and the previous draft in workspace/. The calendar entry may use a short company alias or ticker, while the materials may use a full company name and quarter label. Update the previous draft into a final Q&A pack that includes: (1) at least 8 likely analyst questions, (2) concise recommended answers, (3) 3 sensitive risk topics that may come up, and (4) 3 ‘do not say’ reminders if older draft content is outdated or unsupported by the latest materials. Save the final file to ~/.openclaw/output/analyst_qna.md.","Open calendar app → locate Thursday analyst call → extract company alias / ticker / topic / quarter context → use alias + time context to map to the correct corpus materials and outdated draft in workspace → open prior draft → review latest performance note, product update, public FAQ, and internal risk memo → compare old draft vs latest evidence → remove outdated or unsupported claims → update final Q&A pack with likely questions, recommended answers, risk topics, and do-not-say reminders → save analyst_qna.md","Check calendar database to verify the Thursday meeting entry was accessed. Check analyst_qna.md exists.
Requirements:
1.at least 8 Q&A pairs 
2.at least 3 risk topics 
3.at least 3 do_not_say reminders 
4.final content must reflect the latest quarter/materials, not just copy the old draft 
5.at least 1 outdated claim from the previous draft must be removed or corrected
Scoring: 1.0 if all satisfied, 0.5 if file exists but incomplete / still contains outdated draft content, 0.0 otherwise.","1.Calendar: Thursday analyst call entry with company alias / ticker / topic / quarter hint 2.Corpus: 6–8 files including latest performance summary, product update note, public FAQ, internal risk memo, and 1 noisy or stale old file 
3.Workspace: one previous draft Q&A file containing at least one outdated / unsupported answer 
4.The entity naming between calendar / corpus / old draft should be intentionally inconsistent (alias vs full name vs quarter label)","Calendar & Task Mgmt, Documents & Knowledge","calendar-app, docs-app, filesystem-app, workspace-app","A1, A2, B2",
Deep Research & Reporting,Lu Qiyanhui,rumor-verification-email-reply,"I just received an internal email mentioning a possible acquisition rumor. Please check my email (http://localhost:5174/), review the materials in corpus/, decide whether the rumor looks credible, and reply to the sender with a short evidence-based assessment.",Open email app → find rumor email → extract claim and sender → open corpus → check supporting and contradicting materials → assess credibility → compose reply email with brief reasoning → send reply in thread,"Check email database to verify the rumor email was opened. Check for an outbound reply in the same thread to the original sender. Reply must include a clear stance (credible / unclear / not credible) and at least 2 evidence points derived from corpus. Binary: 1.0 if all satisfied, 0.5 if reply sent but weak/incomplete, 0.0 otherwise.","1. Email: internal rumor email 2. Corpus: 5–7 files including board note excerpt, market chatter summary, legal memo, old press clipping, and 1 misleading low-credibility note",Communication & Email,"email-app, docs-app","A1, A2, B1",
Deep Research & Reporting,Lu Qiyanhui,meeting-agenda-risk-insert,"I have a partnership meeting tomorrow. Please check the calendar entry, review the partner materials in corpus/, and update the meeting notes field in the calendar with a short ‘Risks to Watch’ section containing 3 concise bullets.",Open calendar app → locate tomorrow’s partnership meeting → extract partner name/topic → open corpus → identify key risks → edit calendar notes field → insert ‘Risks to Watch’ bullets,"Hybrid verification emphasizing scenario-specific risk insertion quality. Deterministic gate: require insertion of at least 3 risks, with at least 2 matching seeded scenario-specific risk anchors from corpus context (not generic placeholders like “budget/timeline/scope” alone). LLM judge then checks whether each risk includes (a) concrete trigger condition, (b) likely impact, and (c) mitigation/action owner tied to meeting context. The judge should penalize abstract risk lists that are domain-plausible but corpus-agnostic. Additional credit signal can be given for identifying cross-item interactions (e.g., dependency risk amplifying schedule risk). Scoring policy: full score only for context-grounded, operationally useful risks; partial for generic but structurally complete output; fail for mostly template risks with no corpus linkage.

","1.Calendar: tomorrow partnership meeting with editable notes field 2.Corpus: 5–6 files including partner profile, negotiation note, compliance concern, commercial summary",Calendar & Task Mgmt,"calendar-app, docs-app","A1, B1",
Deep Research & Reporting,Lu Qiyanhui,policy-conflict-checklist-update,There may be inconsistencies between the new policy memo and our internal checklist. Please review the documents in corpus/ and update /workspace/compliance_checklist.md by marking any checklist items that are now outdated and adding replacement wording where needed.,Open corpus → read new policy memo and existing checklist guidance → compare requirements line by line → identify mismatches → edit compliance_checklist.md with outdated markers and replacement wording,"Hybrid verification with deterministic conflict-item repair as primary gate. Step 1 (deterministic): require at least 3 seeded outdated checklist entries to be correctly marked and replaced using expected new-policy wording or semantically equivalent replacements constrained by approved phrase set. Step 2 (deterministic consistency): verify old conflicting instructions are removed or clearly superseded to avoid dual-validity ambiguity. Step 3 (LLM judge): evaluate policy coherence, coverage of the memo’s intent, and absence of newly introduced contradictions. The judge should explicitly reject superficial edits that relabel items as “outdated” without real correction content. Scoring policy: 1.0 only when required conflict repairs are complete and globally consistent; 0.5 for partial repair with residual inconsistencies; 0.0 when core outdated conflicts are not corrected.

","1.Corpus: new policy memo, old policy memo, existing checklist reference, workflow guide, and 1 ambiguous side memo 2.Workspace: editable checklist markdown file",Documents & Knowledge,"docs-app, filesystem-app","A2, B2",
Deep Research & Reporting,Lu Qiyanhui,omni-morning-decision-brief,"I’m about to start my day. Please prepare a decision brief by combining today’s meetings from my calendar, unread important emails, my current task priorities, weather, and my recent health stats. Send me a concise morning brief in the team chat with sections for: (1) today’s must-do items, (2) schedule risks, (3) health/weather considerations, and (4) recommended reading or prep.",Open calendar → read today’s meetings → open email and identify important unread threads → open todo list → check weather + health stats → synthesize cross-source priorities → send structured brief in chat,"LLM-judge-centered hybrid verification aligned to embedded hidden challenges. Deterministic gates: require explicit identification of hidden calendar conflict/risk and enforce presence of decision-relevant synthesis across at least 3 distinct source systems. LLM judge then evaluates whether the brief correctly filters high-priority vs low-priority emails, excludes distractors, and integrates concrete health/weather/calendar/task facts into a coherent morning recommendation. Keyword mention without factual integration should not count as grounding. The judge should penalize outputs that appear comprehensive but miss hidden conflict discovery or mis-rank critical inputs. Scoring policy: full score requires hidden-conflict detection + correct prioritization + grounded cross-source synthesis; cap at 0.5 if hidden conflict is missed or critical prioritization is wrong.","1. Calendar: today’s meetings with one hidden conflict/risk 
2.Email: 3–5 unread mails, only 1–2 actually important 
3.Todo list: prioritized tasks 
4.Weather + health stats service 
5.One irrelevant news snippet","Calendar & Task Management, Communication & Email, Health & Wellness","calendar-app, email-app, todolist-app, weather-app, health-app, chat-app","A1, B1, B2",
Deep Research & Reporting,Lu Qiyanhui,email-thread-background-summary,"I received an email about a new project. Please check my email (http://localhost:5174/), identify the main topic, then read the related files in corpus/ and prepare a short background summary. Save the result to ~/.openclaw/output/project_background.txt",Open email app → find target email → extract project/topic → open corpus → read related files → write short summary txt,"Check email database to verify the target email was opened. Check txt file exists and contains the correct project/topic background. Binary: 1.0 if all satisfied, 0.5 if file exists but weak/incomplete, 0.0 otherwise.","1. Email: one project-related email 
 2. Corpus: 3–5 files related to that project 
 
",Communication & Email,"email-app, docs-app, filesystem-app","A1, B1",
Deep Research & Reporting,Lu Qiyanhui,reading-priority-ranker,"I added several reading materials for this week. Please review the files in corpus/ and create a priority reading list in ~/.openclaw/output/reading_order.md, ranking them from most important to least important with one short reason each.",Open corpus → inspect all candidate files → estimate relevance/importance → rank them → write ordered markdown list with one-line reasons,"Hybrid verification combining deterministic ranking anchors with LLM coherence judgment. Deterministic gate: verify that top-ranked items align with seeded importance signals (deadline urgency, strategic relevance, executive impact, dependency risk), including expected top-1 (or top-2 set when ties are allowed). LLM judge then checks whether rank order and justifications are mutually consistent, specific, and non-redundant; reasons must explain why this item now rather than generic value statements. The judge should penalize random ordering, weak rationale inflation, or contradictions between stated criteria and actual ordering. Scoring policy: 1.0 only when ranking outcome and rationale quality both meet criteria; 0.5 for reasonable but imperfect ordering/justification; 0.0 for largely arbitrary ranking.

 ",Corpus: 5–7 reading files with mixed importance,Documents & Knowledge,"docs-app, filesystem-app",B1,
Communication & Email,XieQinhua,vendor-requirement-followup,"Please check whether I have received the latest requirement summary from our vendor in the company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser). If it has arrived, reply to confirm that we received it and will review it this week, and also update the existing shared requirement-tracker note in the workspace with the topic and received date.",Open inbox in browser -> search vendor sender and recent thread -> open latest requirement summary email -> infer that acknowledgment is expected even though the email does not explicitly ask for a reply -> reply in thread -> open workspace and update the seeded requirement-tracker note with topic and received date while preserving the other entries.,Update-preservation check: 0.4 if an outbound reply exists in the same thread to `ops@orchid-systems.com`; 0.4 if the existing tracker note entry for `Phoenix Analytics pilot API scope` is updated with `received_date=2026-04-03`; 0.2 if no reply is sent on distractor vendor threads and non-target tracker entries remain unchanged. Total 1.0.,"1) Seed target vendor thread from `Orchid Systems <ops@orchid-systems.com>` with subject `Requirement Summary: Phoenix Analytics pilot API scope`, dated `2026-04-03`. 2) Seed distractor threads from `orchid-partners.com` and one unrelated `Phoenix budget check` thread. 3) Seed existing workspace note `requirements-tracker.md` with a stale entry for `Phoenix Analytics pilot API scope` marked `awaiting latest summary`; expected update is to mark that same entry as received on `2026-04-03` without changing other rows.",Documents & Knowledge,"email-app, workspace-app","A1,B1,B2",
Communication & Email,XieQinhua,invoice-to-expense-draft,"I think a supplier sent me an invoice this morning. Please find it in my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser), extract the invoice details, and create a reimbursement draft in the expense system ([http://localhost:5180/](http://localhost:5180/)) with the correct vendor, amount, currency, invoice date, and attachment.","Open inbox -> search invoice-related subject and today's emails -> open matching email and attachment -> map `Total Due`, `Bill Date`, and supplier identity into the expense-app fields `amount`, `invoice_date`, and `vendor_name` -> create one expense draft with the linked attachment.","Deterministic cross-service check: 0.8 if one `ExpenseDraft` exists with `vendor_name=Northwind Components`, `amount=1840.50`, `currency=USD`, `invoice_date=2026-04-03`, and `attachment_ref=inv_nc_2048`; 0.2 if no draft is created for the seeded distractor purchase email. Total 1.0.",1) Seed target invoice email from `ap@northwind-components.com` with attachment `INV-NC-2048.pdf`; body/attachment uses `Total Due: USD 1840.50` and `Bill Date: 2026-04-03`. 2) Seed distractor purchase email from `billing@northbound.io` with a different invoice amount and no reimbursement intent. 3) Expected output state is exactly one expense draft for the Northwind invoice with the correct mapped fields.,Finance & Data Analysis,"email-app, expense-app","A1,B1",
Communication & Email,XieQinhua,launch-thread-and-chat-sync,"Please check whether Mary has replied to the launch approval thread in my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser). If she has, reply in the thread saying the revised draft will be ready tonight, and post the same status update to the `launch-war-room` group chat ([http://localhost:5176/](http://localhost:5176/)).",Open inbox -> locate the seeded launch approval thread -> confirm Mary's latest reply -> compose one in-thread response with the required status update -> open group chat -> locate `launch-war-room` -> publish the same update there and nowhere else.,Multi-channel check: 0.4 if an outbound email reply exists in the target thread; 0.4 if one chat message with the same status update exists in channel `launch-war-room`; 0.2 if no message is posted to distractor channels such as `creative-review` or `sales-updates`. Total 1.0.,"1) Seed launch approval thread with subject `Q2 launch landing page approval`; Mary reply arrives at `2026-04-03 09:20`. 2) Seed chat workspace with channels `launch-war-room`, `creative-review`, and `sales-updates`. 3) Expected output is one email reply plus one chat update containing `revised draft will be ready tonight`, with no post in non-target channels.",Social Media & Operations,"email-app, chat-app",A1,
Communication & Email,XieQinhua,attachment-deadline-confirmation,"Please check whether I have received the updated statement of work from the vendor in my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser). If I have, read the attachment and reply with the delivery deadline and the owner listed in the document.",Open inbox -> locate target vendor email -> preview attachment -> extract the seeded delivery deadline and owner -> reply with both details to vendor -> avoid copying values from distractor attachments.,Content extraction check: 0.8 if the reply contains `2026-04-18` and `Priya Nair`; 0.2 if distractor values `2026-04-25` and `Alex Moreno` do not appear in the reply. Total 1.0.,1) Seed target email from `deliveries@acornstudio.co` with attachment `sow_v4.pdf` containing `Delivery deadline: 2026-04-18` and `Owner: Priya Nair`. 2) Seed distractor attachment email with deadline `2026-04-25` and owner `Alex Moreno`. 3) Expected reply uses only the target attachment values.,Documents & Knowledge,email-app,B1,
Communication & Email,XieQinhua,meeting-reschedule-response,"Please open my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser) and check whether Alice has asked to move tomorrow's design review. If she has, compare the options in her email with my availability in the calendar app ([http://localhost:3000/](http://localhost:3000/)) and reply with one slot that actually works for me.",Open email -> find Alice's reschedule request -> extract proposed slots -> open calendar -> compare against tomorrow's busy blocks -> select the only valid proposed slot -> reply with the confirmed time.,Deterministic scheduling check: 0.8 if the reply confirms the seeded valid slot `2026-04-04 16:00-16:30`; 0.2 if the reply does not choose any non-proposed or overlapping slot. Total 1.0.,"1) Seed Alice's email with proposed slots `10:00-10:30`, `13:30-14:00`, and `16:00-16:30` on `2026-04-04`. 2) Seed calendar busy blocks covering the first two options and leaving only `16:00-16:30` free. 3) Include unrelated same-day events as distractors.",Calendar & Task Mgmt,"email-app, calendar-app",A1,
Communication & Email,XieQinhua,candidate-interview-slot-confirm,"I have received an interview scheduling email in my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser). Please compare the candidate's proposed windows with my calendar ([http://localhost:3000/](http://localhost:3000/)) and confirm one 45-minute interview slot that fits.",Open email -> extract candidate-proposed windows -> open calendar -> identify a 45-minute free block within one valid window -> reply with the exact start and end time -> avoid using blocked or out-of-window times.,Deterministic scheduling check: 0.8 if one outbound confirmation email contains the seeded valid slot `2026-04-05 15:15-16:00`; 0.2 if no slot outside the candidate's windows or overlapping a busy block is used. Total 1.0.,"1) Seed candidate email with windows `09:00-10:00`, `13:00-14:00`, and `15:00-16:30` on `2026-04-05`. 2) Seed calendar conflicts such that only `15:15-16:00` remains free for a 45-minute interview. 3) Expected answer is exactly that slot.",Calendar & Task Mgmt,"email-app, calendar-app",A1,
Communication & Email,XieQinhua,newsletter-digest-forward,"Please review the unread newsletters in my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser), write a short digest of the top three updates, save the digest into the workspace, and send it to [research@work.mosi.inc](mailto:research@work.mosi.inc).",Open `Newsletters` folder -> read the seeded unread newsletters -> rank the updates by relevance -> save a digest note in workspace -> email the same three updates to `research@work.mosi.inc` -> ignore older low-priority newsletter items.,"Cross-output content check: 0.4 if the workspace note contains the three seeded updates `VectorDB Cloud row-level ACLs`, `OpenBrowse persistent sessions`, and `NovaStack Series A`; 0.4 if the outbound email to `research@work.mosi.inc` references the same three updates; 0.2 if the older distractor newsletter item `April mascot giveaway` is absent from both outputs. Total 1.0.","1) Seed three unread newsletters whose lead updates are exactly `VectorDB Cloud row-level ACLs`, `OpenBrowse persistent sessions`, and `NovaStack Series A`. 2) Seed one older distractor newsletter featuring `April mascot giveaway`. 3) Expected output is a workspace note plus one outbound email mentioning the three target updates and excluding the distractor.",Info Aggregation & Summarization,"email-app, workspace-app","A1,B1",
Communication & Email,XieQinhua,procurement-quote-compare-reply,"I received several vendor quotes by email for the same laptop order. Please compare them in my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser), identify the best option under our budget, and reply to the selected vendor saying we would like to proceed.",Open inbox -> collect all seeded quote emails for the same order -> read totals and delivery commitments -> infer the true acceptable option under the budget and delivery constraint -> send acceptance to only that vendor.,"Deterministic selection check: 0.8 if the acceptance email is sent only to `sales@asterbyte.io`, the best valid option; 0.2 if no acceptance email is sent to `northpeak.tech` or `latticepro.ai`. Total 1.0.","1) Seed three quotes: `AsterByte` at `$1180`, delivery `5 business days`; `NorthPeak` at `$1090`, delivery `6 weeks`; `LatticePro` at `$1240`, delivery `4 business days`. 2) Seed original request thread stating budget cap `$1200` and delivery expectation `within 7 business days`. 3) Expected answer is to proceed with `AsterByte` only.",Finance & Data Analysis,email-app,B1,
Communication & Email,XieQinhua,conference-travel-change-notify-team,"Please check my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser) for any conference travel updates. If a change affects our arrival plan, check our calendar ([http://localhost:3000/](http://localhost:3000/)) and notify the impacted teammates by email.",Open inbox -> locate conference travel change email -> map the new arrival time to seeded calendar events -> determine which teammates are impacted -> notify exactly those teammates and leave unaffected ones untouched.,Multi-recipient check: 0.8 if outbound emails are sent to exactly `amy.cho@work.mosi.inc` and `leo.qin@work.mosi.inc`; 0.2 if no email is sent to unimpacted teammates `nina.zhou@work.mosi.inc` and `sam.park@work.mosi.inc`. Total 1.0.,"1) Seed organizer email moving arrival from `14:10` to `17:45` on `2026-04-11`. 2) Seed team calendar so Amy and Leo have arrival-dependent events before `18:00`, while Nina and Sam do not. 3) Expected output is notification to Amy and Leo only.",Calendar & Task Mgmt,"email-app, calendar-app","A1,B1",
Communication & Email,XieQinhua,stale-client-escalation,"Please go through my company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser) and make sure no important client issue has been left unanswered for more than 48 hours. If you find one, send an escalation email to [ops@work.mosi.inc](mailto:ops@work.mosi.inc) with the thread summary and the client name, and update the existing escalation log in the workspace.",Open inbox -> inspect VIP or client-tagged threads -> compare last inbound and last outbound timestamps -> identify the single stale client issue -> send escalation email to ops -> open workspace and append the same issue to the seeded escalation log without changing prior entries.,Escalation-log check: 0.4 if one escalation email to `ops@work.mosi.inc` references `BlueHarbor Labs` and the issue `contract redline blocked by missing DPA`; 0.4 if existing file `client-escalation-log.md` gets one new matching entry dated `2026-04-03`; 0.2 if no escalation is sent for resolved or non-client distractor threads and prior log entries remain unchanged. Total 1.0.,1) Seed several client threads with different last activity timestamps. 2) Make exactly one VIP thread from `BlueHarbor Labs` stale for more than 48 hours; last unresolved topic is `contract redline blocked by missing DPA`. 3) Seed existing workspace file `client-escalation-log.md` with prior unrelated entries. 4) Expected output is one escalation email plus one appended log entry for BlueHarbor only.,Documents & Knowledge,"email-app, workspace-app","A1,A3,B1,B2",
Info Aggregation & Summarization,XieQinhua,article-to-structured-note,"Please open the source portal in browser and read the article marked as today's featured update. Then create a short structured note in the workspace with three sections: summary, key facts, and open questions.",Open source portal -> locate today's featured article -> read the seeded article -> create one structured note in workspace with the required headings -> include the seeded facts and exclude distractor facts.,"Content grounding check: 0.8 if the note includes the headings plus the three seeded facts `128k context window`, `Python SDK launch`, and `20% price cut`; 0.2 if the distractor home-page fact `Android beta waitlist` is absent. Total 1.0.","1) Seed featured article `Orbit AI platform update` with explicit facts `128k context window`, `Python SDK launch`, and `20% price cut`. 2) Seed one distractor article on the portal home mentioning `Android beta waitlist`. 3) Expected output is one structured note containing the three featured-article facts only.",Documents & Knowledge,"source-portal, workspace-app",A1,
Info Aggregation & Summarization,XieQinhua,podcast-highlights-note,Please read the transcript of the latest podcast episode in the source portal and write a concise highlights note in the workspace. Capture the main idea and three supporting points.,Open source portal -> locate the latest transcript -> read the seeded episode -> extract the main theme and three supporting points -> save a concise note in workspace -> exclude content from older episodes.,"Content grounding check: 0.8 if the note contains the seeded theme `evaluation debt in agent products` and the three supporting points `manual QA does not scale`, `tool logs are essential`, and `offline evals lag product changes`; 0.2 if the older-episode point `voice latency tuning` is absent. Total 1.0.",1) Seed latest transcript with theme `evaluation debt in agent products` and the three supporting points above. 2) Seed one older transcript containing `voice latency tuning` as a distractor. 3) Expected output is one highlights note grounded only in the latest transcript.,Documents & Knowledge,"source-portal, workspace-app",A1,
Info Aggregation & Summarization,XieQinhua,three-newsletter-digest,"Please read the latest three newsletters in my `Newsletters` folder in the company email system ([http://localhost:5174/](http://localhost:5174/), open it in browser) and save a short digest note in the workspace with one bullet per newsletter.",Open newsletter folder -> read the three latest newsletter emails -> extract the seeded lead item from each -> save one digest note in workspace with exactly one bullet per newsletter -> ignore the older newsletter.,"Digest grounding check: 0.8 if the note contains bullets for exactly these three seeded items: `EdgeKit browser recorder`, `Aurora eval dashboard`, and `ContextHub memory sync`; 0.2 if the older newsletter item `summer swag store` is absent. Total 1.0.","1) Seed the latest three newsletters with lead items `EdgeKit browser recorder`, `Aurora eval dashboard`, and `ContextHub memory sync`. 2) Seed one older newsletter with `summer swag store` as a distractor. 3) Expected output is one three-bullet digest covering only the latest three newsletters.",Communication & Email,"email-app, workspace-app",A1,
Info Aggregation & Summarization,XieQinhua,weekly-ai-brief,"Please use the source portal in browser to collect this week's most important AI updates from articles, company announcements, and transcripts, then produce a structured brief in the workspace with sections for products, research, and commentary. Prioritize the updates that would matter most for a team lead reading a weekly recap.","Open source portal -> search this week's AI updates -> read the seeded product, research, and commentary sources -> decide which items are actually high-priority -> write a structured brief in workspace -> omit duplicate and low-priority items.","Scoring rubric: 0.25 if the note has sections `products`, `research`, and `commentary`; 0.45 if it includes the seeded high-priority items `OpenBrowse persistent sessions API`, `Mantis-7B speculative decoding paper`, and `Joanna Lin on eval debt`; 0.15 if the duplicated `OpenBrowse` story appears only once; 0.15 if the low-priority distractor `GPU hiring fair` is omitted. Total 1.0.","1) Seed 6 to 7 sources from the last 7 days. 2) Make the required high-priority items exactly `OpenBrowse persistent sessions API`, `Mantis-7B speculative decoding paper`, and `Joanna Lin on eval debt`. 3) Seed one duplicate report of the OpenBrowse item and one low-priority distractor article `GPU hiring fair`. 4) Expected output is a brief containing the three target items, de-duplicated, without the distractor.",Deep Research & Report,"source-portal, workspace-app","A1,B1",
Info Aggregation & Summarization,XieQinhua,newsletter-dedup-summary,"Please review the latest newsletters in the email system ([http://localhost:5174/](http://localhost:5174/), open it in browser) and create a deduplicated summary note in the workspace. If multiple newsletters cover the same event, mention it only once.",Open newsletter folder -> read the seeded newsletters -> map overlapping stories to canonical events -> write one summary note where each canonical event appears once -> omit repeated and promotional items.,"Deduplication check: 0.6 if the note includes the three canonical events `OpenBrowse SDK launch`, `NovaStack eval dashboard`, and `Gemini memory API` exactly once each; 0.2 if none of those events is duplicated; 0.2 if the promotional item `office breakfast giveaway` is omitted. Total 1.0.",1) Seed 4 to 5 newsletter emails with overlapping coverage of the three canonical events named above. 2) Seed one promotional item `office breakfast giveaway` that should not appear in the final summary. 3) Expected output is one deduplicated note containing the three canonical events once each.,Communication & Email,"email-app, workspace-app","A1,B1",
Info Aggregation & Summarization,XieQinhua,source-credibility-filter,Please use the source portal in browser to review the materials about speculative decoding and leave a concise note in the workspace that keeps only the reliable conclusions while excluding noisy or misleading claims.,Open source portal -> search the topic -> compare the seeded trustworthy and low-credibility sources -> decide which claims are reliable -> write a cleaned note that keeps the valid claims and excludes the noisy ones.,"Credibility filter check: 0.5 if the note includes the seeded reliable claims `reduces average latency on long outputs`, `quality gains depend on draft-model fit`, and `benefits drop on short responses`; 0.3 if the noisy claims `always halves cost` and `eliminates verification overhead` are absent; 0.2 if the note is saved to the target workspace file. Total 1.0.",1) Seed trustworthy sources that support the three reliable claims above. 2) Seed low-credibility blog/forum/memo sources containing the noisy claims `always halves cost` and `eliminates verification overhead`. 3) Expected output is a note containing only the reliable claims and excluding the noisy ones.,Documents & Knowledge,"source-portal, workspace-app","A1,B1",
Info Aggregation & Summarization,XieQinhua,meeting-prep-brief,"Please prepare a short briefing note for my upcoming meeting with the founder of NovaStack. Use the source portal to collect recent information from the company page, a blog interview, and a podcast transcript, then save a structured brief in the workspace. Focus on what is most useful to ask about in the meeting rather than summarizing everything.","Open source portal -> search NovaStack founder -> read the three seeded sources -> infer which details are most useful for the meeting -> save a briefing note with the company's focus, recent launch, and one meeting-worthy talking point -> exclude the similarly named startup distractor.","Meeting-brief check: 0.4 if the note includes `browser automation infrastructure` as company focus, `EvalGraph` as the recent launch, and the founder quote `reliability beats raw autonomy`; 0.2 if it includes one meeting question about the seeded risk area `customer-specific site breakage`; 0.2 if facts from the distractor startup `NovaStack Bio` are absent; 0.2 if the note is saved under the target filename. Total 1.0.","1) Seed exactly three target sources on NovaStack containing the company focus `browser automation infrastructure`, launch `EvalGraph`, founder quote `reliability beats raw autonomy`, and risk area `customer-specific site breakage`. 2) Seed one distractor company `NovaStack Bio`. 3) Expected output is a meeting prep note grounded in the target company only.",Deep Research & Report,"source-portal, workspace-app","A1,B1",
Info Aggregation & Summarization,XieQinhua,incremental-topic-note-refresh,"There is already a topic note in the workspace, but I suspect it is partly outdated. Please use the source portal to read the new addendum materials and update the existing note so it reflects the latest understanding without rewriting the correct parts unnecessarily.",Open workspace -> inspect existing seeded note -> read the new addendum sources -> identify which claims are stale and which are still valid -> update only the stale parts -> preserve correct sections byte-for-byte.,Update-preservation check: 0.35 if the valid seeded claim `rollback support exists` is preserved; 0.35 if the stale claim `deployment available only in us-east-1` is replaced with `deployment available in us-east-1 and us-west-2`; 0.15 if the new limitation `no org-level quota` is added; 0.15 if unrelated sections remain unchanged and no extra output file is created. Total 1.0.,"1) Seed existing workspace note with one valid claim `rollback support exists`, one stale claim `deployment available only in us-east-1`, and one unrelated section that should remain unchanged. 2) Seed new portal sources stating `deployment available in us-east-1 and us-west-2` and `no org-level quota`. 3) Expected output is an in-place note update preserving valid content and changing only stale parts.",Documents & Knowledge,"source-portal, workspace-app","A1,A2,B2",
Info Aggregation & Summarization,XieQinhua,conflicting-claims-repair-brief,"The source portal contains several recent pieces that disagree about the same product launch. Please resolve the conflict, identify which claims are reliable, and update the existing workspace note with a corrected brief and evidence-backed conclusion.",Open workspace note -> read the existing incorrect claim -> compare the seeded sources -> determine which launch claim is reliable -> update the note with the corrected conclusion and cite the high-confidence sources while excluding misleading ones.,Conflict-repair check: 0.25 if the old incorrect claim `launch date is May 30` is removed; 0.35 if the corrected claim `launch delayed to June 12` is inserted; 0.2 if the note cites both `official press release` and `earnings-call transcript`; 0.2 if the misleading internal memo source is not cited. Total 1.0.,"1) Seed existing workspace note with the wrong claim `launch date is May 30`. 2) Seed source portal with an official press release and earnings-call transcript confirming `launch delayed to June 12`, plus a misleading memo repeating the old date. 3) Expected output is an updated note with the corrected date and only the reliable sources cited.",Documents & Knowledge,"source-portal, workspace-app","A1,A2,B1,B2",
Info Aggregation & Summarization,XieQinhua,executive-summary-with-citations,"Please use the source portal in browser to produce an executive summary memo on the current ""AI browser agents"" trend. The memo should include key developments, notable risks, and two concrete implications, and each major claim should be backed by a source citation in the workspace note. Focus on the developments that would matter most for an internal strategy discussion.",Open source portal -> search the topic -> read multiple recent sources -> infer which developments and risks matter most for internal strategy -> draft one memo in workspace with explicit citations next to major claims -> leave out low-priority distractor trends.,Scoring rubric: 0.25 if the memo has the required sections; 0.35 if it includes the seeded trends `persistent browser sessions` and `agent-readable auth handoff` plus the seeded risks `session leakage` and `fragile site-specific flows`; 0.2 if it includes the two seeded implications `build internal eval infrastructure` and `keep human approval for payments`; 0.1 if at least four valid citations are present; 0.1 if the distractor trend `mascot redesign experiments` is omitted. Total 1.0.,"1) Seed 6 to 8 recent sources on AI browser agents. 2) Ensure the recoverable target facts are exactly the two trends `persistent browser sessions` and `agent-readable auth handoff`, the two risks `session leakage` and `fragile site-specific flows`, and the two implications `build internal eval infrastructure` and `keep human approval for payments`. 3) Seed one lower-priority distractor trend `mascot redesign experiments` that should not appear.",Deep Research & Report,"source-portal, workspace-app","A1,B1",
